Sampling method,testcase,Conformations generated,Unique conformers generated,time,thread_avg,Duplicates after optimization,Incorrect topology after optimization,High-energy conformations (>15 kcal/mol),Low-energy conformations (<15 kcal/mol),"Time per unique
low-energy conformer, s","Time per unique
conformer, s"
RDKit,csd_OHIFAM,1493,1493,600.5948874335736,1.0,4,0,1489,0,inf,0.40335452480428047
RDKit,csd_KAQJAN,4984,4982,600.0756439175457,1.0,1026,0,2361,1595,0.37622297424297535,0.15168747318441497
RDKit,pdb_1NT1,3822,3815,600.1003148499876,1.0,1681,0,2133,1,600.1003148499876,0.28120914472820413
RDKit,pdb_3DV1,2960,2960,600.1723784487695,1.0,0,0,2933,27,22.228606609213685,0.20276093866512482
RDKit,pdb_2VZM,2124,2124,600.0570431370288,1.0,0,0,2055,69,8.696478886043895,0.2825127321737424
RDKit,pdb_3DV5,2362,2362,600.178401876241,1.0,1,0,2330,31,19.360593608911,0.2542051680966713
RDKit,csd_GIHKOX10,560,560,601.591532856226,1.0,0,0,560,0,inf,1.0742705943861177
RDKit,pdb_1QPL,577,577,601.3215754274279,1.0,0,1,573,3,200.44052514247596,1.0439610684503957
RDKit,csd_CHPSAR,4251,4251,600.014386465773,1.0,3840,0,408,3,200.004795488591,1.4598890181648978
RDKit,csd_GAFSEL,6704,6704,600.0593631844968,1.0,499,0,6204,1,600.0593631844968,0.0967057797235289
RDKit,csd_ACICOE,848,848,600.6607994847,1.0,0,0,848,0,inf,0.7083264144866744
RDKit,pdb_1QPF,576,576,600.2075786199421,1.0,0,0,564,12,50.017298218328506,1.0420270462151773
RDKit,csd_PAPGAP,3922,3844,600.1123540755361,1.0,1921,0,1922,1,600.1123540755361,0.312070906955557
RDKit,csd_BIDPIN10,2007,2006,603.4042095113546,1.0,15,1,1959,31,19.464651919721113,0.30321819573434905
RDKit,csd_VAKPIH,1232,1232,600.6462703160942,1.0,21,0,295,916,0.6557273693407142,0.4959919655789382
RDKit,csd_VALINM30,367,367,600.0437403060496,1.0,0,0,367,0,inf,1.6349965675914158
RDKit,csd_CYVIHV10,1284,1284,600.3152607027441,1.0,0,0,1278,6,100.05254345045735,0.4675352497684923
RDKit,pdb_1ESV,5386,5334,600.1234542168677,1.0,735,3,3582,1014,0.5918377260521378,0.13057516410288678
RDKit,pdb_1TPS,502,502,600.5295317266136,1.0,0,0,498,4,150.1323829316534,1.1962739675828957
RDKit,pdb_3ABA,1484,1484,600.133653704077,1.0,0,2,1481,1,600.133653704077,0.4049484842807537
RDKit,pdb_1NSG,564,564,600.4824765753001,1.0,0,0,562,2,300.24123828765005,1.0646852421547874
RDKit,csd_COHVAW,3534,3520,600.1251755375415,1.0,180,0,1900,1440,0.4167535941232927,0.179678196268725
RDKit,csd_CALSAR,9000,7594,600.074531763792,1.0,7187,0,394,13,46.15957936644554,1.474384598928236
RDKit,csd_DEKSAN,228,228,600.3373688030988,1.0,0,0,228,0,inf,2.6330586351013103
RDKit,csd_ZAJDUJ,210,210,602.1149410437793,1.0,0,0,210,0,inf,2.8672140049703776
RDKit,pdb_2QZK,2819,2815,600.088559102267,1.0,2096,0,569,150,4.000590394015114,0.8346155203091336
RDKit,pdb_1WUA,338,338,604.1967900022864,1.0,0,0,333,5,120.83935800045728,1.7875644674623858
RDKit,pdb_1SKX,1219,1219,600.2342105843127,1.0,0,0,1206,13,46.17186235263944,0.49239886020042056
RDKit,pdb_1KEG,747,747,600.520946148783,1.0,0,0,723,24,25.021706089532625,0.803910235808277
RDKit,csd_CIYKUR,1304,1304,600.4217353705317,1.0,225,0,1059,20,30.021086768526583,0.5564612932071656
RDKit,pdb_2C7X,2118,2118,600.2570001557469,1.0,1,1,2060,56,10.718875002781195,0.28367533088645885
RDKit,pdb_3EKS,2836,2829,600.3015280198306,1.0,96,0,2227,506,1.1863666561656732,0.21964929675076128
RDKit,pdb_1BXO,1907,1907,600.3359353188425,1.0,22,0,1884,1,600.3359353188425,0.31848060229116315
RDKit,csd_AAGGAG10,8243,8222,600.0390476882458,1.0,5105,0,3117,0,inf,0.19250530885089695
RDKit,csd_IDIMAJ,1250,1250,600.091484323144,1.0,6,0,1243,1,600.091484323144,0.482388652992881
RDKit,pdb_1MRL,1438,1438,600.3672927562147,1.0,0,0,1427,11,54.578844796019524,0.41750159440626894
RDKit,pdb_2WEA,3457,3431,600.1701925117522,1.0,1115,0,2279,37,16.220816013831143,0.2591408430534336
RDKit,csd_FIXYEQ,2658,2658,600.0797038860619,1.0,21,0,2625,12,50.00664199050516,0.2275615107645286
RDKit,csd_CAMVES01,3712,3711,600.1678154878318,1.0,685,0,3026,0,inf,0.19833701767608455
RDKit,pdb_3BXR,1201,1201,600.1507300697267,1.0,0,0,1171,30,20.005024335657556,0.49970918407137943
RDKit,csd_VUHHEM,3236,3235,600.2360754068941,1.0,134,0,3087,14,42.87400538620672,0.19356210106639604
RDKit,csd_QUDRIQ,3607,3607,600.1365439482033,1.0,104,0,3503,0,inf,0.17132073763865352
RDKit,csd_YUYYEW,7680,7660,600.0717213284224,1.0,2784,0,4667,209,2.8711565613800114,0.12306639075644431
RDKit,csd_MUCYIT,4860,4110,600.1193449441344,1.0,2236,0,1864,10,60.01193449441344,0.3202344423394527
RDKit,pdb_1PFE,554,554,601.007200403139,1.0,0,0,553,1,601.007200403139,1.0848505422439332
RDKit,pdb_1A7X,620,620,600.036436419934,1.0,0,0,616,4,150.0091091049835,0.9678007039031195
RDKit,csd_HEBLIJ,1158,1158,600.5270502865314,1.0,0,0,1158,0,inf,0.5185898534426006
RDKit,csd_HIKPAS01,11343,5243,600.0557596962899,1.0,4184,4,481,574,1.045393309575418,0.5687732319396113
RDKit,csd_FINWEE10,885,885,600.5041939839721,1.0,0,1,884,0,inf,0.6793033868596969
RDKit,pdb_1JFF,296,296,602.1465402394533,1.0,1,0,252,43,14.003407912545425,2.041174712676113
RDKit,csd_CIYLAY,1237,1237,600.0869295764714,1.0,32,0,1165,40,15.002173239411785,0.4979974519306817
RDKit,pdb_3M6G,852,852,600.4009682480246,1.0,0,0,850,2,300.2004841240123,0.7046959721220946
RDKit,csd_WENFOL,1474,1474,600.3565959390253,1.0,3,0,1471,0,inf,0.408128209339922
RDKit,csd_POXTRD10,24455,20847,600.0492775626481,1.0,19489,0,1311,47,12.767005905588256,0.44186250188707515
RDKit,csd_HAXMOI10,464,464,600.316293803975,1.0,0,0,464,0,inf,1.2937851159568425
RDKit,pdb_3KEE,1603,1603,600.2065059039742,1.0,12,0,1457,134,4.479153029134135,0.3772511036480039
RDKit,pdb_1OSF,1614,1614,600.3724878653884,1.0,7,0,1576,31,19.366854447270594,0.3735983122995572
RDKit,pdb_1QZ5,594,594,600.2705039735883,1.0,0,0,558,36,16.674180665933008,1.01055640399594
RDKit,csd_QEKNID,501,501,600.806033147499,1.0,0,0,500,1,600.806033147499,1.199213639016964
RDKit,pdb_2XBK,1726,1726,600.3562383875251,1.0,0,0,1726,0,inf,0.3478309608270713
RDKit,pdb_1QZ6,885,885,600.1864207368344,1.0,0,0,872,13,46.168186210525725,0.6781767465952931
RDKit,pdb_1NMK,1269,1269,600.5314783044159,1.0,0,0,1268,1,600.5314783044159,0.473232055401431
RDKit,csd_BIHYAS10,1624,1624,600.1084395926446,1.0,1,0,1623,0,inf,0.3697525813879511
RDKit,pdb_2VYP,163,163,602.3969513457268,1.0,0,0,163,0,inf,3.6956868180719438
RDKit,csd_CAZVEF,14840,12789,600.5722998697311,1.0,12413,0,370,6,100.09538331162184,1.597266754972689
RDKit,csd_OHIDUE,1656,1656,600.1731757298112,1.0,0,0,1656,0,inf,0.3624234152957797
RDKit,csd_RUQVAB,4064,3913,600.1674808859825,1.0,1441,0,2454,18,33.34263782699903,0.2427861977694104
RDKit,pdb_1EHL,4665,4654,600.0453278589994,1.0,396,0,4221,37,16.21744129348647,0.14092187126796604
RDKit,pdb_3I6O,1834,1834,600.1574840862304,1.0,5,0,1270,559,1.0736269840540795,0.328134217652395
RDKit,csd_WUMKIY,3597,3597,600.1075867209584,1.0,11,0,2844,742,0.8087703325080301,0.16734734710567717
RDKit,pdb_2ASP,557,557,600.9790736883879,1.0,0,0,532,25,24.039162947535516,1.078957044323856
RDKit,csd_DIGTOC,1069,1069,600.4587450828403,1.0,0,0,753,316,1.9001859021608871,0.5617013518080827
RDKit,pdb_1BZL,1504,1504,600.2992718070745,1.0,0,0,1503,1,600.2992718070745,0.39913515412704426
RDKit,pdb_2ASO,465,465,600.8524055052549,1.0,0,0,460,5,120.17048110105097,1.292155710763989
RDKit,pdb_2ASM,474,474,600.649385124445,1.0,0,0,465,9,66.73882056938277,1.267192795621192
RDKit,csd_TERDAW,1479,1479,600.663730500266,1.0,0,0,1479,0,inf,0.4061282829616403
RDKit,csd_VOKBIG,279,279,601.3147752396762,1.0,0,0,279,0,inf,2.1552500904647895
RDKit,csd_YAGVEH,1234,1234,600.4473461359739,1.0,0,0,1234,0,inf,0.48658618001294485
RDKit,csd_RECRAT,4041,3698,600.0392937567085,1.0,2681,0,1013,4,150.00982343917713,0.5900091384038432
RDKit,csd_NUCZUH,935,935,600.0483670402318,1.0,0,0,935,0,inf,0.6417629594013174
RDKit,csd_XACJAM,1349,1349,600.3795791175216,1.0,3,0,1344,2,300.1897895587608,0.4460472355999418
RDKit,pdb_1GHG,497,497,600.1246583517641,1.0,0,0,494,3,200.04155278392136,1.2074942823979156
RDKit,pdb_1XBP,2451,2451,600.0811053942889,1.0,16,0,2235,200,3.0004055269714445,0.2464398790120283
RDKit,pdb_1YND,330,330,600.1137016136199,1.0,0,0,330,0,inf,1.818526368526121
RDKit,csd_ICYSPA,229,229,602.1322579495609,1.0,0,0,229,0,inf,2.6293985063299603
RDKit,csd_XAGXIN,7585,7425,600.0360075291246,1.0,3956,0,3409,60,10.00060012548541,0.17297088715166464
RDKit,csd_FAGFEZ,1661,1661,600.3006293345243,1.0,0,0,1661,0,inf,0.36140916877454804
RDKit,csd_YIVNOG,1071,1071,600.3655014690012,1.0,0,0,1071,0,inf,0.5605653608487406
RDKit,csd_REMCOC,4365,2656,600.1145706083626,1.0,2180,0,261,215,2.791230560969128,1.2607448962360557
RDKit,pdb_1KHR,3299,3261,600.1144014429301,1.0,380,0,2866,15,40.00762676286201,0.20830072941441516
RDKit,csd_VOLHOU,3331,3331,600.0186091326177,1.0,122,0,3205,4,150.00465228315443,0.18697993428875592
RDKit,pdb_1E9W,215,215,600.8412944469601,1.0,0,0,215,0,inf,2.794610671846326
RDKit,csd_CTVHVH01,275,275,600.7179186455905,1.0,0,0,275,0,inf,2.184428795074875
RDKit,csd_CGPGAP10,7697,6887,600.5571920592338,1.0,5724,0,1162,1,600.5571920592338,0.5163862356485244
RDKit,csd_QOSNAN,1778,1778,600.2758899852633,1.0,0,0,1778,0,inf,0.33761298649339894
RDKit,pdb_2IYA,1156,1156,600.2604642212391,1.0,0,0,1152,4,150.06511605530977,0.5192564569387882
RDKit,pdb_1S22,1661,1661,600.1691455114633,1.0,0,0,1301,360,1.6671365153096203,0.3613300093386293
RDKit,pdb_1NTK,3478,3478,600.1559508163482,1.0,69,0,2177,1232,0.4871395704678151,0.17605044025120217
RDKit,pdb_2DG4,497,497,601.1794528923929,1.0,0,0,495,2,300.58972644619644,1.2096166054172894
RDKit,pdb_2IYF,941,941,600.2138271722943,1.0,0,0,930,11,54.56489337929948,0.6378467876432458
RDKit,csd_JINWUZ,1886,1886,600.1706070266664,1.0,0,0,1886,0,inf,0.31822407583598433
RDKit,pdb_2F3E,1553,1553,600.1346487943083,1.0,0,0,1527,26,23.082101876704165,0.38643570431056556
RDKit,pdb_2F3F,2938,2938,600.0872236397117,1.0,0,0,2925,13,46.16055566459321,0.20425024630350977
RDKit,pdb_1FKD,877,877,600.1144166365266,1.0,0,0,867,10,60.01144166365266,0.684280976780532
RDKit,pdb_2OTJ,1928,1928,600.2990222126245,1.0,0,2,1863,63,9.528555908136898,0.3116817353128892
RDKit,pdb_1FKL,499,499,600.3644060436636,1.0,0,0,499,0,inf,1.203135082251831
RDKit,pdb_1FKI,3828,3828,600.1530743408948,1.0,58,0,3536,234,2.564756727952542,0.15919179690739915
RDKit,csd_CLPGDH,1793,1793,600.3799701500684,1.0,7,0,1786,0,inf,0.3361589978443832
RDKit,pdb_1FKJ,889,889,600.5832176245749,1.0,0,0,872,17,35.32842456615146,0.6755716733684757
RDKit,csd_GEZBUI,1759,1759,600.2243132200092,1.0,0,0,1758,1,600.2243132200092,0.3412304225241667
RDKit,csd_KAQJER,3326,3326,600.115948503837,1.0,195,0,913,2218,0.2705662527068697,0.19166909885143307
RDKit,csd_WUBGAB,986,986,600.0925933476537,1.0,0,0,985,1,600.0925933476537,0.608613177837377
RDKit,csd_ABOJOR,3115,2975,600.0375019349158,1.0,1167,0,1808,0,inf,0.3318791493002853
RDKit,pdb_2PH8,4200,3812,600.984476774931,1.0,2187,0,1422,203,2.960514663915916,0.3698366010922652
RDKit,csd_QUDROW,2647,2647,600.086927479133,1.0,2,0,2645,0,inf,0.22687596502046617
RDKit,csd_RULSUN,932,932,600.0265108607709,1.0,0,0,930,2,300.01325543038547,0.6438052691639173
RDKit,csd_DAFGIA,3533,917,600.1626420263201,1.0,672,0,243,2,300.08132101316005,2.449643436842123
RDKit,csd_CUQRUB,208,208,602.5439338684082,1.0,0,0,208,0,inf,2.8968458359058085
RDKit,pdb_1XS7,1046,1046,600.340839734301,1.0,0,0,1039,7,85.76297710490014,0.5739396173368078
RDKit,csd_LALWIF,6280,552,600.0965126920491,1.0,474,0,73,5,120.01930253840983,7.69354503451345
RDKit,csd_XAGXOT,3138,3105,601.7341460101306,1.0,322,0,2761,22,27.351552091369573,0.21621780309383062
RDKit,csd_JOKSAD,9404,9325,600.0752653777599,1.0,1270,0,4370,3685,0.16284267717171233,0.07449723964962879
RDKit,csd_CAHWEN,1797,1797,600.1936482489109,1.0,3,0,1794,0,inf,0.3345561027028489
RDKit,csd_MECBOL,13652,13453,600.0464904569089,1.0,10021,0,3423,9,66.67183227298989,0.17483872099560283
RDKit,csd_DALPUC,2331,2330,600.1039524264634,1.0,203,0,2127,0,inf,0.28213631989960664
RDKit,csd_NITFEB,4824,4810,600.047233812511,1.0,221,1,4189,399,1.5038777789787243,0.13078623230438338
RDKit,csd_YAGKOG,305,305,601.7070803120732,1.0,0,0,305,0,inf,1.9728100993838467
RDKit,pdb_2C6H,2854,2854,600.1491231918335,1.0,11,0,2797,46,13.046720069387685,0.21109712388034946
RDKit,pdb_2GPL,1996,1996,600.2932790424675,1.0,142,0,1485,369,1.62681105431563,0.32378278265505256
RDKit,pdb_1PKF,4474,4474,600.0731990672648,1.0,2,0,3400,1072,0.5597697752493141,0.13418452573060483
RDKit,pdb_1PPJ,3500,3496,600.1286553889513,1.0,97,0,2738,661,0.9079102199530277,0.17656035757250702
RDKit,pdb_1YXQ,151,151,600.2639256287366,1.0,0,0,144,7,85.7519893755338,3.9752577856207725
RDKit,csd_RASTIO,8687,8647,600.0274952724576,1.0,4223,0,4419,5,120.00549905449152,0.13563008482650488
RDKit,pdb_3K5C,2451,2451,600.310510341078,1.0,11,0,1739,701,0.8563630675336349,0.2460288976807697
RDKit,csd_MALVAL10,938,938,600.5801345594227,1.0,0,0,938,0,inf,0.6402773289546084
RDKit,pdb_2WHW,4541,4541,600.1110189203173,1.0,61,0,2680,1800,0.3333950105112874,0.1339533524375708
RDKit,csd_ABOMOT,522,522,600.9975764844567,1.0,0,0,522,0,inf,1.1513363534184993
RDKit,csd_DACMAW,1797,1797,600.0927806049585,1.0,0,0,1796,1,600.0927806049585,0.33394144719252006
RDKit,pdb_1YET,2085,2079,600.1957723330706,1.0,90,0,1982,7,85.74225319043866,0.30175755270642063
RDKit,csd_MIWTER,1235,1235,600.9806477613747,1.0,0,0,1235,0,inf,0.4866240062845139
RDKit,pdb_7UPJ,5001,4085,600.0737835429609,1.0,2349,0,610,1126,0.5329252074093791,0.3456646218565443
RDKit,csd_YUPBAN01,309,309,600.3506365604699,1.0,0,0,309,0,inf,1.942882318965922
RDKit,pdb_1NWX,987,987,600.4938385244459,1.0,0,0,981,6,100.08230642074098,0.6084030785455379
RDKit,csd_FEGJAD,2036,2036,600.1690194886178,1.0,68,0,1963,5,120.03380389772356,0.3049639326669806
RDKit,csd_KIVDIC,2315,2315,600.1473008990288,1.0,112,0,2202,1,600.1473008990288,0.27242274212393497
RDKit,csd_XAGYAG,4091,3942,600.4284208789468,1.0,1066,0,2761,115,5.2211167032951895,0.20877205176597594
RDKit,csd_OHUXEU,982,982,600.447317654267,1.0,2,1,974,5,120.0894635308534,0.6133271886151859
RDKit,csd_CTILIH10,290,290,601.0306967329234,1.0,0,0,290,0,inf,2.0725196439066322
RDKit,csd_FIVSAE,5870,5557,600.040474044159,1.0,3933,0,1623,1,600.040474044159,0.36948305051980235
RDKit,pdb_2Q0R,728,728,600.2507264968008,1.0,0,0,718,10,60.02507264968008,0.8245202287043967
XTB metadynamics,csd_OHIFAM,104,104,603.7154829148203,1.0,1,0,82,21,28.748356329277158,5.861315368105052
XTB metadynamics,csd_KAQJAN,203,203,602.482719508931,1.0,1,0,70,132,4.564263026582811,2.9825877203412428
XTB metadynamics,pdb_1NT1,190,190,602.3918526191264,1.0,6,0,140,44,13.690723923161965,3.2738687642343827
XTB metadynamics,pdb_3DV1,154,154,602.3400166835636,1.0,0,0,100,54,11.154444753399325,3.91129880963353
XTB metadynamics,pdb_2VZM,135,135,602.6093381084502,1.0,7,0,92,36,16.739148280790282,4.707885453972267
XTB metadynamics,pdb_3DV5,139,139,602.6441652085632,1.0,0,0,125,14,43.04601180061166,4.335569533874556
XTB metadynamics,csd_GIHKOX10,57,57,605.8904166836292,1.0,0,0,53,4,151.4726041709073,10.629656433046126
XTB metadynamics,pdb_1QPL,63,63,605.5770981237292,1.0,0,0,47,16,37.84856863273308,9.612334890852845
XTB metadynamics,csd_CHPSAR,196,196,602.4908499475569,1.0,18,0,108,70,8.607012142107955,3.384780055885151
XTB metadynamics,csd_GAFSEL,232,232,602.327710269019,1.0,0,0,215,17,35.43104178053053,2.5962401304699094
XTB metadynamics,csd_ACICOE,70,70,604.0625363327563,1.0,0,0,66,4,151.01563408318907,8.629464804753662
XTB metadynamics,pdb_1QPF,61,61,605.1125508304685,1.0,0,0,49,12,50.426045902539045,9.919877882466697
XTB metadynamics,csd_PAPGAP,199,199,602.516749067232,1.0,41,0,113,45,13.389261090382934,3.8133971459951392
XTB metadynamics,csd_BIDPIN10,162,162,602.7897447627038,1.0,6,0,64,92,6.552062443072868,3.8640368254019473
XTB metadynamics,csd_VAKPIH,96,96,603.4541102126241,1.0,1,0,17,78,7.7365911565721035,6.352148528553937
XTB metadynamics,csd_VALINM30,50,50,606.3747744038701,1.0,0,0,17,33,18.37499316375364,12.127495488077402
XTB metadynamics,csd_CYVIHV10,88,88,603.1263638287783,1.0,0,0,57,31,19.45568915576704,6.85370867987248
XTB metadynamics,pdb_1ESV,241,241,602.2696099579334,1.0,4,0,95,142,4.241335281393897,2.5412219829448666
